NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — ÉPREUVE ANTICIPÉE DE FRANÇAIS — VOIE GÉNÉRALE,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
"0,25",Exemples présents mais peu analysés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Exemples précis, issus de l'œuvre et du parcours, utilisés comme arguments.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Connaissance de l'œuvre et du parcours associé,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
1. Mobilisation précise de l'œuvre au programme,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Œuvre mal connue, erreurs factuelles, résumé sans analyse.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Œuvre convoquée mais de façon générale ou approximative.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Œuvre correctement mobilisée au service du sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Connaissance précise et fine de l'œuvre, passages cités avec justesse.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Références au parcours associé et à la culture littéraire,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Parcours associé ignoré ou hors sujet.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Quelques références utiles mais peu développées.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Parcours associé et autres textes/lectures pertinemment mobilisés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Culture littéraire diversifiée, mobilisée avec discernement au service du sujet.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Maîtrise de l'exercice et composition,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
1. Introduction,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Introduction lacunaire, sujet mal amené, pas de problématique.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Introduction correcte mais problématisation ou annonce de plan insuffisantes.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Introduction structurée : amorce, présentation de l'œuvre, problématique, annonce du plan.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Introduction très maîtrisée, donnant une véritable nécessité au développement.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Développement et transitions,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Développement désordonné ou descriptif.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Organisation identifiable mais progression irrégulière.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75","Paragraphes structurés, transitions logiques.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Composition rigoureuse, chaque partie nécessaire à la démonstration.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Conclusion,,,,"— /0,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Absente ou ne répond pas au problème.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Bilan présent mais réponse vague.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5","Conclusion synthétique répondant explicitement au problème, avec ouverture pertinente.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Expression et présentation,,,,— /3,,,,,,,,,,,,,,,,,,,,,,,,,
1. Clarté et correction de la langue,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Expression souvent incorrecte ou difficilement compréhensible.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Expression globalement compréhensible mais maladroite.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Expression claire et correcte ; vocabulaire précis.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Expression très claire, fluide et rigoureuse.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Présentation et lisibilité,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Copie mal présentée ou désorganisée.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Présentation correcte mais parfois confuse.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75","Copie lisible, paragraphes clairement identifiables.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Présentation particulièrement claire, rendant visible la progression du raisonnement.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES AU CORRECTEUR — hors barème,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"⚠️ IMPORTANT — L'évaluation officielle des EAF (commentaire et dissertation) est globale et utilise tout l'éventail des notes de 0 à 20.
 Les attendus officiels ne fixent pas de découpage national obligatoire des 20 points entre introduction, analyse, culture littéraire, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE QUI A CHANGÉ PAR RAPPORT À LA V0 (forme seulement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aucun point n'a été modifié : chaque critère garde exactement son barème.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La zone de correction (nom de l'élève, « niveau ? », commentaire) a été ajoutée : la V0 était un barème seul, sans rien à cocher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24 paliers écrits en fourchette (« 0–0,5 ») ont été ouverts en deux lignes : un vrai 0, puis la valeur haute avec son descripteur d'origine. Sans cela aucun critère ne pouvait valoir 0. Les descripteurs de niveau 0 sont en gris : à relire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Les pages séparées de la V0 sont réunies sur une seule page, une partie par exercice : le professeur n'a qu'un fichier à exporter.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
