NE PAS TOUCHER — cette page est lue automatiquement par le CRM,,,,,,Élèves,,,,,,,,,,,,,,,,,,,,,,,
BARÈME DE CORRECTION — PHILOSOPHIE TERMINALE — BACCALAURÉAT,,,,,,Élève 1,,Élève 2,,Élève 3,,Élève 4,,Élève 5,,Élève 6,,Élève 7,,Élève 8,,Élève 9,,Élève 10,,Élève 11,,Élève 12,
2. Mise en perspective et discussion,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Références ou discussion hors sujet ; récitation de cours.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Quelques rapprochements pertinents mais peu développés.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Mise en perspective utile pour éclairer le problème et la thèse.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,"Discussion rigoureuse et subordonnée à l'explication : comparaison, objection ou autre perspective servant à mieux comprendre la position de l'auteur.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D. Fidélité au texte et absence de contresens,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
1. Fidélité au texte et absence de contresens,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Contresens importants ou interprétation imposée de l'extérieur.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Compréhension globalement correcte mais plusieurs interprétations fragiles.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5",Interprétation fidèle et justifiée par le texte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
2,Lecture extrêmement attentive : aucune thèse étrangère n'est attribuée à l'auteur et chaque interprétation importante est fondée sur le texte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E. Maîtrise de l'exercice,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
1. Maîtrise de l'exercice,,,,— /1,,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Réponse ne réalisant pas réellement une explication de texte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Explication commencée mais maladroite ou inaboutie.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Explication structurée et attentive au texte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,"Exercice parfaitement maîtrisé : explication centrée sur le texte, progressive et organisée autour de son mouvement philosophique.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Expression et présentation,,,,— /2,,,,,,,,,,,,,,,,,,,,,,,,,
1. Clarté et correction de l'expression,,,,"— /1,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Expression difficilement compréhensible ou très incorrecte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,75",Expression compréhensible mais plusieurs maladresses.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
1,Expression claire et correcte.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"1,5","Expression très claire, précise et rigoureuse.",,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Lisibilité et présentation,,,,"— /0,5",,,,,,,,,,,,,,,,,,,,,,,,,
Niveau,Attendu,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Rien d'exploitable sur ce critère.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,25",Présentation rendant l'explication difficile à suivre.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
"0,5",Présentation lisible et structure permettant de suivre le raisonnement.,,,,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES AU CORRECTEUR — hors barème,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"⚠️ IMPORTANT — L'évaluation officielle de philosophie est globale et utilise tout l'éventail des notes de 0 à 20. Les attendus officiels ne fixent pas un découpage national obligatoire des 20 points entre introduction, connaissances, concepts, etc. Cette grille est donc une grille analytique de correction : elle permet d'homogénéiser l'évaluation sans prétendre reproduire un barème national sous-critère par sous-critère. En philosophie, la réflexion, la problématisation, l'analyse conceptuelle, l'argumentation et la qualité de l'explication sont évaluées dans leur ensemble.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE QUI A CHANGÉ PAR RAPPORT À LA V0 (forme seulement),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aucun point n'a été modifié : chaque critère garde exactement son barème.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"La zone de correction (nom de l'élève, « niveau ? », commentaire) a été ajoutée : la V0 était un barème seul, sans rien à cocher.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23 paliers écrits en fourchette (« 0–0,5 ») ont été ouverts en deux lignes : un vrai 0, puis la valeur haute avec son descripteur d'origine. Sans cela aucun critère ne pouvait valoir 0. Les descripteurs de niveau 0 sont en gris : à relire.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2 bloc(s) portaient leurs paliers directement (D, E) : ils ont reçu un sous-critère numéroté, sinon le CRM les rangeait sous le bloc précédent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
